"","Age_Category","Marriage_Category","POC Population Category","Poverty Rate Classification","Disabled Population Category"
"1201","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1202","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1203","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1204","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"1205","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1206","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1207","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1208","Mature Adult","High Marriages","High","Low Poverty","Low"
"1209","Older Adult","Low Marriages","High","Low Poverty","Low"
"1210","Mature Adult","High Marriages","High","Low Poverty","Low"
"1211","Mature Adult","High Marriages","High","Low Poverty","Low"
"1212","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1213","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1214","Mature Adult","Low Marriages","High","Low Poverty","Low"
"1215","Older Adult","Median Marriages","High","Low Poverty","Medium"
"1216","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1217","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1218","Older Adult","Median Marriages","Medium","Low Poverty","Medium"
"1219","Mature Adult","High Marriages","High","Low Poverty","Medium"
"1220","Older Adult","Many Marriages","Medium","Low Poverty","Low"
"1221","Older Adult","Many Marriages","Medium","Low Poverty","Low"
"1222","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"1223","Older Adult","Low Marriages","Medium","Low Poverty","Low"
"1224","Mature Adult","High Marriages","High","Low Poverty","Low"
"1225","Older Adult","Many Marriages","Low","Low Poverty","Medium"
"1226","Mature Adult","High Marriages","High","Low Poverty","Medium"
"1227","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1228","Mature Adult","High Marriages","High","Low Poverty","Low"
"1229","Mature Adult","Few Marriages","High","Low Poverty","Low"
"1230","Mature Adult","High Marriages","High","Low Poverty","Low"
"1231","Mature Adult","High Marriages","High","Low Poverty","Low"
"1232","Adult","High Marriages","High","Low Poverty","Low"
"1233","Mature Adult","High Marriages","High","Low Poverty","Low"
"1234","Senior","Few Marriages","Low","Low Poverty","Medium"
"1235","Older Adult","Few Marriages","Medium","Low Poverty","Medium"
"1236","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1237","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1238","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1239","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"1240","Older Adult","Few Marriages","High","Low Poverty","Medium"
"1241","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"1242","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"1243","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"1244","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1245","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"1246","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1247","Older Adult","Median Marriages","Medium","Low Poverty","Medium"
"1248","Older Adult","Median Marriages","Low","Low Poverty","Low"
"1249","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1250","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"1251","Older Adult","Median Marriages","Low","High Poverty","Medium"
"1252","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1253","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"1254","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1255","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1256","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"1257","Older Adult","Median Marriages","Low","Low Poverty","Low"
"1258","Mature Adult","High Marriages","High","Low Poverty","Medium"
"1259","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1260","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"1261","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1262","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1263","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1264","Adult","Median Marriages","Low","Low Poverty","Low"
"1265","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1266","Adult","Many Marriages","High","Low Poverty","Low"
"1267","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1268","Older Adult","Low Marriages","Low","Low Poverty","Medium"
"1269","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"1270","Adult","Many Marriages","Medium","High Poverty","Low"
"1271","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1272","Adult","Many Marriages","High","Low Poverty","Low"
"1273","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1274","Mature Adult","High Marriages","High","Low Poverty","Low"
"1275","Senior","No Marriages","Low","Low Poverty","Low"
"1276","Older Adult","Few Marriages","Medium","Low Poverty","High"
"1277","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1278","Senior","Low Marriages","Low","Low Poverty","Low"
"1279","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1280","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1281","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"1282","Older Adult","Few Marriages","High","Low Poverty","Medium"
"1283","Mature Adult","High Marriages","High","Low Poverty","Low"
"1284","Older Adult","Low Marriages","Medium","Low Poverty","Medium"
"1285","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1286","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1287","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1288","Older Adult","Low Marriages","Low","Low Poverty","Medium"
"1289","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1290","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1291","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1292","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"1293","Senior","Few Marriages","Low","Low Poverty","Medium"
"1294","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1295","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1296","Mature Adult","High Marriages","High","Low Poverty","Low"
"1297","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1298","Older Adult","Low Marriages","Low","Low Poverty","Medium"
"1299","Senior","No Marriages","Low","Low Poverty","Medium"
"1300","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"1301","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"1302","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1303","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"1304","Senior","Few Marriages","Low","Low Poverty","Medium"
"1305","Senior","Low Marriages","Low","Low Poverty","Medium"
"1306","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"1307","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"1308","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"1309","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1310","Older Adult","Few Marriages","Medium","Low Poverty","Medium"
"1311","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"1312","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1313","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1314","Adult","High Marriages","High","Low Poverty","Low"
"1315","Mature Adult","High Marriages","High","Low Poverty","Medium"
"1316","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1317","Senior","Few Marriages","Low","Low Poverty","Medium"
"1318","Mature Adult","High Marriages","High","Low Poverty","Low"
"1319","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1320","Mature Adult","Median Marriages","High","Low Poverty","Low"
"1321","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1322","Older Adult","No Marriages","Low","Low Poverty","Low"
"1323","Adult","Many Marriages","Medium","Low Poverty","Low"
"1324","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"1325","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1326","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1327","Older Adult","Median Marriages","Medium","Low Poverty","Low"
"1328","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"1329","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"1330","Adult","Many Marriages","Medium","Low Poverty","Low"
"1331","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"1332","Older Adult","No Marriages","Medium","Low Poverty","Low"
"1333","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"1334","Older Adult","Many Marriages","Low","Low Poverty","Low"
"1335","Mature Adult","High Marriages","High","Low Poverty","Low"
"1336","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"1337","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"1338","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1339","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"1340","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1341","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"1342","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"1343","Mature Adult","High Marriages","High","Low Poverty","Low"
"1344","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"1345","Older Adult","Low Marriages","Low","Low Poverty","Low"
"1346","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"1347","Older Adult","Median Marriages","Medium","Low Poverty","Medium"
"1348","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1349","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1350","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1351","Older Adult","No Marriages","Low","Low Poverty","Low"
"1352","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"1353","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"1354","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"1355","Older Adult","No Marriages","Low","Low Poverty","Low"
"1356","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"1357","Mature Adult","No Marriages","Low","Low Poverty","Low"
"1358","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1359","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"1360","Mature Adult","No Marriages","High","High Poverty","Medium"
"1361","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1362","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"1363","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"1364","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"1365","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"1366","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1367","Older Adult","Few Marriages","Low","Low Poverty","Low"
"1368","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1369","Mature Adult","Low Marriages","High","Low Poverty","Low"
"1370","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1371","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1372","Older Adult","Median Marriages","Low","Low Poverty","Low"
"1373","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1374","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1375","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"1376","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1377","Older Adult","Few Marriages","Low","Low Poverty","Low"
"1378","Mature Adult","High Marriages","High","Low Poverty","Low"
"1379","Mature Adult","No Marriages","Low","Low Poverty","Low"
"1380","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"1381","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"1382","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1383","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1384","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1385","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1386","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1387","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1388","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1389","Adult","Many Marriages","Medium","Low Poverty","Low"
"1390","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1391","Adult","Few Marriages","Medium","Low Poverty","Low"
"1392","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1393","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"1394","Older Adult","No Marriages","Medium","Low Poverty","Low"
"1395","Older Adult","Low Marriages","Low","Low Poverty","Low"
"1396","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1397","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"1398","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1399","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"1400","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"1401","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"1402","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1403","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"1404","Mature Adult","Median Marriages","High","High Poverty","Low"
"1405","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"1406","Older Adult","Few Marriages","High","High Poverty","High"
"1407","Mature Adult","Few Marriages","High","High Poverty","Medium"
"1408","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"1409","Mature Adult","Median Marriages","High","High Poverty","Medium"
"1410","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"1411","Older Adult","Few Marriages","High","High Poverty","Medium"
"1412","Mature Adult","Few Marriages","High","High Poverty","Medium"
"1413","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"1414","Adult","Few Marriages","High","High Poverty","Low"
"1415","Mature Adult","Few Marriages","High","High Poverty","High"
"1416","Mature Adult","Low Marriages","High","High Poverty","Low"
"1417","Mature Adult","Low Marriages","High","High Poverty","Low"
"1418","Mature Adult","Median Marriages","High","High Poverty","Medium"
"1419","Mature Adult","Few Marriages","High","High Poverty","Medium"
"1420","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1421","Adult","Many Marriages","High","High Poverty","Medium"
"1422","Mature Adult","Few Marriages","High","High Poverty","Medium"
"1423","Mature Adult","Low Marriages","Medium","High Poverty","Medium"
